"#KateConwayisaJerk" (2015)	2015-????
"Atomnyy les" (2012) {(#1.10)}	????
"Atop the Fourth Wall" (2008) {Night of AT4W Live!}	2013
"Atop the Fourth Wall" (2008) {SCI-Spy #6 (#7.35)}	2014
"Atop the Fourth Wall" (2008) {Tandy Computer Whiz Kids: The Answer to a Riddle (#5.38)}	2012
"Attack of the Show!" (2005) {(#1.665)}	2008
"Attack of the Show!" (2005) {(#1.817)}	2008
"Attack of the Show!" (2005) {(2007-07-20)}	2007
"Attack of the Show!" (2005) {Sam Witwer}	2012
"Au nom de la v�rit�" (2012) {Pr�te � tout (#1.8)}	2012
"Au th��tre ce soir" (1966) {La pur�e}	1973
"Au th��tre ce soir" (1966) {O� Peppina!}	1978
"Au th��tre ce soir" (1966) {Tout dans le jardin}	1979
"Au th��tre ce soir" (1966) {Une nuit chez vous Madame}	1979
"Auction Kings" (2010) {Cigar-Boy Lighter/Einstein Letter (#2.15)}	2011
"Auction" (1994)	1994-????
"August '39 - Elf Tage zwischen Frieden und Krieg" (1988) {Donnerstag, den 31. August (#1.11)}	1989
"Aurora" (2010) {(#1.92)}	????
"Aurora" (2010) {Encuentro de fuego (#1.7)}	2010
"Austin City Limits" (1975) {David Gray/Dar Williams (#26.10)}	2001
"Austin City Limits" (1975) {Queens of the Stone Age (#39.9)}	2014
"Austin Mahone Takeover" (2012) {Austin Mahone Plays Live at a Texas Waterpark (#1.28)}	2013
"Australia's Got Talent" (2007) {Grand Final: Part 1 (#4.9)}	2010
"Australian Story" (1996) {Our New Selection (#15.28)}	2010
"Australian Story" (1996) {When We Were Racers (#14.28)}	2009
"Australians" (1987) {John Norton (#1.13)}	1988
"Auto-B-Good" (2003) {Movie 'FX' (#2.1)}	????
"Autobusi" (1985)	1985-????
"Autoindefinits" (2005)	2005-????
"Automan" (1983) {Club Ten (#1.13)}	????
"Autovaras" (1991)	1991-????
"Avec Eric" (2015) {Three Caballeros (#3.7)}	2015
"Avenida Brasil" (2012) {(#1.19)}	2012
"Aviatory" (2006) {(#1.13)}	????
"Avrupa Yakasi" (2004) {(#1.25)}	????
"Avtobus" (2008) {(#1.5)}	????
"Avtonomka" (2006) {(#1.15)}	????
"Awkward Annie" (2013)	2013-????
"AXN Buzz" (2007) {(#1.1155)}	????
"AXN Buzz" (2007) {(#1.1334)}	????
"AXN Buzz" (2007) {(#1.1421)}	????
"AXN Buzz" (2007) {(#1.169)}	????
"AXN Buzz" (2007) {(#1.301)}	????
"AXN Buzz" (2007) {(#1.448)}	????
"Axut" (1998) {(#1.2)}	1998
"Az �t zsaru" (1998) {Gyilkos csomag (#1.4)}	1999
"B.J. and the Bear" (1978) {B.J. And the Seven Lady Truckers: Part 1 (#3.1)}	1981
"B.R.A.T.S. of the Lost Nebula" (1998) {What Mom Said (#1.1)}	1998
"Baantjer" (1995) {De Cock en de taximoord (#3.2)}	1997
"Babar" (1989) {Between Friends (#2.1)}	1989
"Babel nisei" (1973) {Ankoku no Teio Yomi (#1.3)}	1973
"Babestation" (2002) {(2013-11-15)}	2013
"Baby Daddy" (2012) {An Officer and a Gentle Ben (#4.9)}	2015
"Baby Daddy" (2012) {You Can't Go Home Again (#3.21)}	2014
"Babylon" (2002)	2002-2003
"Bachelor Father" (1970) {Feminine Company (#1.13)}	1970
"Backstage Pass" (2005) {The Fashion}	2008
"Bad Days" (2012)	2012-????
"Bad Girl's Ball" (2010) {101 Ways to Twerk (#3.5)}	2013
"Bad Girls" (1999) {Sweet Sixteen (#4.6)}	2002
"Bad Movie Beatdown" (2009) {Prometheus: Part 2 (#5.2)}	2013
"Bad Religion" (2015)	2015-????
"Bad Weather Films" (2010) {Colleen (#1.25)}	2012
"Baddiel's Syndrome" (2001) {Pilot (#1.0)}	????
"Badults" (2013) {Money (#1.1)}	2013
"Baie des flamboyants" (2007) {Tristes d�couvertes (#2.7)}	2008
"Bailando por un sue�o" (2006/I) {(2012-12-03)}	2012
"Bailando por un sue�o" (2006/I) {(2014-09-11)}	2014
"Bajo un mismo rostro" (1995) {(#1.76)}	1995
"Bake with Anna Olson" (2012) {Chocolate Cake (#1.1)}	2012
"Bakegyamon" (2006) {(#1.10)}	2006
"Balamory" (2002) {The Ballet}	2004
"Baldwin Hills" (2007) {Going at It! (#2.3)}	2008
"Bamses billedbog" (1983) {Bamse kigger i sin huskebog sammen med �lling, om dengang han legede R�dh�tte med Pernille, og da han skulle passe �llingebabyen (#16.4)}	2001
"Banb� br�do" (2007) {(#1.18)}	2008
"Band in Seattle" (2013) {Pony Time/Blood Drugs (#2.9)}	2015
"Banda ampla" (2009) {(#2.31)}	2011
"Bandstand" (1952) {(#5.81)}	1961
"Bandstand" (1952) {(1985-10-13)}	1985
"Bang Goes the Theory" (2009) {(#3.5)}	2010
"Bang Goes the Theory" (2009) {(#4.8)}	2011
"Bang, Bang, It's Reeves and Mortimer" (1999) {(#1.2)}	1999
"Banged Up Abroad" (2007) {Son of Saddam (#6.10)}	2012
"Banshee" (2013) {Job (#4.3)}	2016
"Bar Rescue: Back to the Bar" (2015) {Hot-Headed Owners (#1.1)}	2015
"Barba & Cabelo" (1995) {Conversa de Surdos (#1.36)}	1996
"Barend en Van Dorp" (1990) {(1999-04-09)}	1999
"Barend en Van Dorp" (1990) {(2001-05-14)}	2001
"Baretta" (1975) {Make the Sun Shine (#4.8)}	1977
"Barnens Detektivbyr�" (1991) {Franska Cigg, Del 1 (#2.1)}	1992
"Barney Miller" (1974) {Block Party (#2.18)}	1976
"Barney Miller" (1974) {Graft (#1.4)}	1975
"Barry Morgan, Horror Geek" (2013) {Wolfman (#1.4)}	2013
"Bar�tok k�zt" (1998) {(#1.1395)}	2002
"Baseball Tonight" (1990) {(2011-08-17)}	2011
"Basilisk: K�ga ninp� ch�" (2005) {Shinobi no rikugi (#1.5)}	2005
"Bass Pro Shops: The Next Generation" (2005) {Ben KS Muzzleloader Deer (#7.7)}	2011
"Bassie en Adriaan en het geheim van de sleutel" (1978) {Een sleutel als losgeld (#1.11)}	1979
"Bassie en Adriaan en het geheim van de sleutel" (1978) {Op reis naar Spanje (#1.4)}	1978
"Bath Crashers" (2010) {Sleek Seattle Waterfall Bath (#5.4)}	2012
"Bathtastic!" (2008) {Urban Bath (#1.2)}	2009
"Batman: The Brave and the Bold" (2008) {Crisis: 22,300 Miles Above Earth! (#3.11)}	2011
"Batoru F�b� Jei" (1979) {Jigoku de Warau Yami Sh�gun (#1.34)}	1979
"Battle of the Supercars" (2010) {Reconnaissance Mission (#1.2)}	2010
"Battlefield: Divided We Stand" (2014)	2014-????
"Battleground" (2004) {The Growler Story (#1.80)}	2006
"Baywatch" (1989) {Freefall (#6.16)}	1996
"Baywatch" (1989) {Night of the Dolphin (#8.16)}	1998
"Ba�a das Mulheres" (2004) {(#1.6)}	2004
"BB agus Bella" (2013) {C�n tSl�? (#1.4)}	????
"BB's Bedtime Stories" (2010)	2010-????
"BBC Electric Proms" (2006) {Ray Davies and Friends}	2007
"BBC London News" (2001) {(2007-02-20)}	2007
"BBC News at Ten O'Clock" (2000) {(2009-01-16)}	2009
"BBC News at Ten O'Clock" (2000) {(2010-08-06)}	2010
"BBC Show of the Week" (1965) {Beryl Reid}	1967
"BBC Sunday-Night Theatre" (1950) {Haul for the Shore (II) (#7.9)}	1956
"BBC Super League Show" (1999)	1999-????
"BBC Weekend News" (1992) {(2010-06-19)}	2010
"BBC World News" (1997) {(2003-11-20)}	2003
"BBC2 Play of the Week" (1977) {Renoir, My Father (#2.11)}	1978
"Be Careful with My Heart" (2012) {Kailangan na ba ni Maya mag-bed rest? (#1.379)}	2013
"Be Cool, Scooby-Doo!" (2015) {Trading Chases (#1.6)}	2015
"Beat! Beat! Beat!" (1966) {(#1.7)}	1966
"BEC Mac Show" (2013)	2013-????
"Beck" (1996) {(#1.1)}	1996
"Beckmann" (1999) {(2003-10-20)}	2003
"Becky & Barry #theactorslife" (2011) {Meet Eddie (#3.8)}	2015
"Beer and Board Games" (2010) {Drunk Password (#3.16)}	2013
"Beer and Board Games" (2010) {Drunk Spelling Bee (#3.26)}	2013
"Behind Bars Live" (2006)	2006-????
"Behind the Scenes" (1992/I) {Hall Pass}	2011
"Behzat �.: Bir Ankara Polisiyesi" (2010) {G�r�nenin Ardindaki Sir (#1.4)}	2010
"Bei aller Liebe" (2000) {Seitensprung (#3.3)}	2003
"Being Fat Sucks" (2012) {Ask Jason (#1.29)}	2012
"Being Human" (2008) {The Pack (#3.4)}	2011
"Beleza Pura" (2008) {(#1.80)}	2008
"Belmonte" (2013) {(#1.154)}	2014
"Bem-Vindos a Beirais" (2013) {Quantos Euros Vale um Beirino? (#4.195)}	2015
"Ben Casey" (1961) {The Evidence of Things Not Seen (#3.33)}	1964
"Ben Elton: The Man from Auntie" (1990) {(#1.2)}	1990
"Benelli on Assignment" (2009) {Texas Ducks and Quail; Kyle Wintersteen; Dave Dolbee; Jay Cassel; Paul Wait (#3.6)}	2010
"Beni B�yle Sev" (2013) {(#3.2)}	2014
"Beni B�yle Sev" (2013) {(#3.8)}	2014
"Benjamin Bl�mchen" (2002) {Benjamin Bl�mchen als Babysitter (#2.3)}	2003
"Benjamin the Elephant" (2002) {The Banana Thief (#2.1)}	2002
"Benson" (1979) {In All the Wrong Places (#5.15)}	1984
"Beregovaya okhrana 2" (2014) {(#1.23)}	????
"Berg & Meltzer i Europa" (2015)	2015-????
"Bergwelten" (2012) {Das reiche Leben des Heinrich Harrer, Teil 2 (#1.9)}	2012
"Berlin Mitte" (1999) {Gerechtigkeit 2010 - Sind wir bald alle gleich arm?}	2010
"Berlin Mitte" (1999) {Meinungskrieg um Guttenberg - Verdient der Minister eine zweite Chance? (#12.23)}	2011
"Berman & Berman" (2002) {He Can't... He Won't}	2002
"Bernard" (2006) {(#1.39)}	????
"Berrenger's" (1985) {Hidden Agenda (#1.10)}	1985
"Berusaiyu no bara" (1979) {Aikotoba wa 'Sayonara' (#1.36)}	1980
"Best Friends Whenever" (2015) {A Time to Be Heroes (#1.19)}	2016
"Best Friends" (2010) {Nach den Ferien (#1.1)}	2010
"Best of New York" (2011)	2011-2011
"Best of the Worst" (2013) {Night Beast, Trick or Treat, and Skull Forest (#1.11)}	2013
"Best Week Ever" (2004) {Jacko in Court, Pat O'Brian and More (#3.9)}	2005
"BET.com Countdown" (2001)	2001-????
"Betes i films" (1990) {(1993-02-08)}	1993
"Betoben baireoseu" (2008) {(#1.9)}	2008
"Betrayal" (2013) {...A Better Place (#1.13)}	2014
"Better Days" (1986) {A Car Is Not a Home (#1.6)}	1986
"Better Living in USA" (2007) {Welly Yang (#2.8)}	2008
"Betterthandead" (2015) {From the Sea (#1.1)}	2015
"Bettina S." (2002) {(#2.30)}	????
"Betty Crocker Star Matinee" (1951) {(1952-04-26)}	1952
"Beverly Hills Salon" (2009) {(#3.2)}	????
"Bewitched" (1964) {Prodigy (#2.38)}	1966
"Bewitched" (1964) {Soapbox Derby (#3.16)}	1966
"Beyond Reality" (1991) {Keepsake (#2.21)}	1993
"Beyond Scared Straight" (2011) {Portsmouth County, VA (#2.3)}	2011
"Beyond Spelling Manor" (2013)	2013-????
"Bez tajemnic" (2011) {(#1.8)}	2011
"Bezmolvnyy svidetel 3" (2009) {(#1.4)}	????
"Bharat Ka Veer Putra - Maharana Pratap" (2013) {(#1.110)}	????
"Bharat Ka Veer Putra - Maharana Pratap" (2013) {(#1.184)}	????
"Bharat Ka Veer Putra - Maharana Pratap" (2013) {(#1.80)}	????
"Bibleman" (1996) {Divided We Fall (#1.15)}	2004
"Bicho malo" (2009) {(#1.2)}	2009
"Bienes ra�ces" (2010) {Excepciones (#2.6)}	2011
"Big & Betsy" (2000) {Babsy (#3.10)}	2002
"Big Bad World" (1999)	1999-????
"Big Bang" (2007) {(#1.4)}	2007
"Big Brother Talk Show" (2005) {(#1.7)}	2005
"Big Brother Uncut" (2001) {BB05: Uncut 2 (#5.6)}	2005
"Big Brother Uncut" (2001) {BB08 Big Mouth: Week 4 (#8.7)}	2008
"Big Brother VIP: M�xico" (2002) {(2002-02-23)}	2002
"Big Brother" (2000/II) {(#11.4)}	2009
"Big Brother" (2000/II) {(#15.24)}	2013
"Big Brother" (2000/III) {(#13.72)}	2012
"Big Brother" (2000/III) {(#9.60)}	2008
"Big Brother's Bit on the Side" (2011) {(2015-09-15)}	2015
"Big Brother's Little Brother" (2001) {(#3.39)}	2003
"Big Brother's Little Brother" (2001) {(2010-01-24)}	2010
"Big Brother: After Dark" (2007) {(#3.10)}	????
"Big Ideas That Changed the World" (2005) {Democracy (#1.3)}	2005
"Big Medicine" (2007) {Weight N'See}	2007
"Big Morning Buzz Live" (2011) {Melissa Etheridge (#5.22)}	2012
"Big Questions: Find Your Voice" (2013) {Benefit Corporations (#2.6)}	2014
"Big Shamus, Little Shamus" (1979) {The Abduction (#1.2)}	1979
"Big Town" (1950) {Spotlight (#1.36)}	1951
"Big Town" (1950) {The Black Room (#2.3)}	1951
"Big Town" (1950) {The Sniper (#5.18)}	1955
"Big Women, Big Love" (2015) {(#1.8)}	2015
"Bijo to danshi" (2015) {(#1.19)}	2015
"Bilderbuch Deutschland" (1996) {Nymphenburg - Wo Sch�nheit einen Rahmen hat}	2008
"Billy Bunter of Greyfriars School" (1952) {Bunter's Bull's Eye (#5.8)}	1959
"Billy" (1979) {Computer Dating (#1.4)}	1979
"Bing" (2014) {House (#1.44)}	2014
"Bingo Night Live" (2008) {(#1.17)}	2008
"BingoLotto" (1989) {(#44.3)}	2013
"BingoLotto" (1989) {(#47.3)}	2014
"BingoLotto" (1989) {Guldkv�ll II (#24.15)}	2003
"Binnelanders" (2005) {(2009-10-28)}	2009
"Biography" (1987) {Andy Gibb}	2008
"Biography" (1987) {James Cagney: Top of the World}	1992
"Biography" (1987) {John McEnroe: Game, Set, Match}	2001
"Biography" (1987) {Ray Liotta: Hollywood Goodfella}	????
"Birds of a Feather" (1989) {The Beautiful Game (#5.13)}	1993
"Birlokus klub" (2004) {(#1.10)}	2004
"Birlokus klub" (2004) {(2006-09-23)}	2006
"Birlokus klub" (2004) {(2007-03-10)}	2007
"Birlokus klub" (2004) {(2007-05-19)}	2007
"Bish�jo senshi S�r� M�n Crystal" (2014) {Attack, Black Lady (#2.11)}	2015
"Bitte umbl�ttern" (1977) {(1980-01-21)}	1980
"Bizimkiler" (1989) {(#4.32)}	1992
"Bizimkiler" (1989) {Alisveris Gunu (#12.25)}	2000
"Bj�rnes magasin" (1987) {(1992-01-22)}	1992
"Black-ish" (2014) {(#2.21)}	2016
"Blackout" (1988) {(#1.43)}	1988
"Blank Surfaces" (2000) {Britney Viva Las Vegas (#2.11)}	2001
"Blank Surfaces" (2000) {Death Valley (#2.8)}	2001
"Bleach" (2004) {A Dispute in School?! Ichigo and Uryu, Fight Together! (#16.2)}	2011
"Bleach" (2004) {Deceived Shinigami! The World Collapse Crisis (#13.18)}	2009
"Bleach" (2004) {The Man Who Risked His Life in the 11th Division (#14.48)}	2011
"Bleach" (2004) {Water Assult! Escape from the Closed Hospital (#4.9)}	2006
"Bless This House" (1971) {One Good Turn Deserves a Bother (#3.5)}	1973
"Blind Date" (1985) {(#18.17)}	????
"Blood Ties" (2006) {Bugged (#2.4)}	2007
"Bloodbath and Beyond" (2013) {Leprechaun in the Hood (#2.7)}	2014
"Bloodwork" (2011) {The Exhumation of Jane Doe}	2011
"Blue Water High" (2005)	2005-????
"Blue Water High" (2005) {(#2.14)}	2006
"Blue Water High" (2005) {(#3.1)}	2008
"Blue Zulu" (2013) {(#1.4)}	2013
"Bluebird TV 1" (2010) {(2010-08-10)}	2010
"Blut und Spiele" (2007)	2007-????
"Bob & Doug" (2009) {No Country for Old People (#1.2)}	2009
"Bob the Builder" (1999) {Trix and the Otters (#7.3)}	2003
"Bod" (1975) {Bod and the Grasshopper (#1.11)}	1975
"Body Language" (1984) {(1985-04-18)}	1985
"Body Language" (1984) {(1985-05-14)}	1985
"Bokura no jidai" (2007) {Keiichiro Hirano, Masayasu Wakabayashi & Makita Sports}	2013
"Bokura no jidai" (2007) {Shion Sono, Kazuaki Kiriya & Shunji Iwai}	2015
"Bon dia, Catalunya" (1992) {(1995-12-19)}	1995
"Bon dia, Catalunya" (1992) {(2003-09-10)}	2003
"Bonanza" (1959) {The Code (#7.21)}	1966
"Bonanza" (1959) {The Trackers (#9.15)}	1968
"Bondi Rescue" (2006) {(#6.2)}	2011
"Bondi Vet" (2009) {(#6.4)}	????
"Bonne nuit les petits" (1962) {Nounours enrhum�}	1963
"Boogies Diner" (1994) {Mr. July (#1.7)}	1994
"Book TV" (1998) {Cate Lineberry}	2013
"Book TV" (1998) {Steven Johnson}	2010
"Boon" (1986) {Have a Nice Day (#3.4)}	1988
"Boonie Bears" (2011) {Road Sign Prank (#1.34)}	2011
"Border Patrol" (1959)	1959-????
"Border Patrol" (1959) {Time Out (#1.23)}	1959
"Border Wars" (2010) {24-Hour Watch (#7.7)}	2012
"Bored to Death" (2009) {The Gowanus Canal Has Gonorrhea! (#2.3)}	2010
"Born to Shine" (2011) {Estelle (#1.3)}	2011
"Boston Blackie" (1951) {Studio Murder (#2.22)}	1953
"Boston's Finest" (2013) {No More Bullets (#2.2)}	2013
"Botan to bara" (2004) {(#1.8)}	2004
"Botineras" (2009) {(#1.18)}	2009
"BPM Spotlight" (2007) {EP 2-14 - ATB}	2007
"Braceface" (2001) {Poor Richard (#3.14)}	2005
"Brad Tries..." (2010) {Brad Tries Billy Beer (#3.2)}	2012
"Brainy Bubbly Bug Buddies" (2010) {A Rising Shelter (#1.57)}	2010
"Branded" (1965) {Price of a Name (#1.16)}	1965
"Brasil 2050" (2014) {Res�duos (#1.9)}	2014
"Bratstvo desanta" (2012) {(#1.16)}	????
"Bratya po-raznomu" (2006) {(#1.47)}	????
"Bratya" (2011) {(#1.12)}	2011
"Bravo TV" (1993) {Das Gespr�ch (#11.49)}	2004
"Bravo TV" (1993) {Nicoles Telefonat (#2.74)}	2004
"Bread" (1986) {(#5.12)}	1989
"Breakfast" (2000) {(2004-06-29)}	2004
"Breakfast" (2000) {(2005-03-22)}	2005
"Breakfast" (2000) {(2008-03-26)}	2008
"Breakfast" (2000) {(2009-12-07)}	2009
"Breakfast" (2000) {(2011-05-24)}	2011
"Breaking News med Filip och Fredrik" (2011) {(#4.4)}	2015
"Breaking Point" (2011) {True Colors (#2.9)}	2012
"Breaking Vegas" (2005) {Dice Dominator (#1.9)}	2005
"Breaking Vegas" (2005) {Slot Buster (#1.2)}	2005
"Bricoman�a" (1994) {(1998-06-20)}	1998
"Bridezillas" (2004) {Maria and Monika (#4.6)}	????
"Bridging Waters" (2014) {Building Tomorrow (#1.6)}	2014
"Bright Falls" (2010) {Clearcut (#1.6)}	2010
"Bright's Boffins" (1970) {Ejected! (#3.1)}	1972
"Bright's Boffins" (1970) {Seeing Stars (#2.7)}	1971
"Bring It On" (2001) {Cruise (#1.4)}	2001
"Britain as Seen on ITV" (2015)	2015-????
"British Sex" (2000)	2000-????
"Broadway Television Theatre" (1952) {The Last of Mrs. Cheyney (#3.10)}	1953
"Broadway to Hollywood Headline Clues" (1949) {(1950-01-27)}	1950
"Broco Show" (2008) {(#1.12)}	2008
"Brodvey. Istoriya v litsakh i tantsakh" (2015)	2015-????
"Broken Arrow" (1956) {Passage Deferred (#1.5)}	1956
"Bronski & Bernstein" (2001) {Tierisch gut (#1.9)}	2001
"Brookside" (1982) {B*****s (#1.1)}	1982
"Brother's Keeper" (1998) {The New Client (#1.22)}	1999
"Brotherhood 2.0" (2007) {Dum De Dum De Dum De Readn' a Book (#1.125)}	2007
"Brotherhood 2.0" (2007) {Thanks (#1.61)}	2007
"Broti & Pacek - irgendwas ist immer" (2002) {Hypnose (#2.12)}	2003
"Bryan Blue Show" (2015) {Texas Secession (#1.10)}	2015
"BS ny�su waido 21:50" (1995) {(1995-07-13)}	1995
"BTM2" (2000) {Smash Mouth (#1.4)}	2000
"BTV4U Morgenmuffel" (2003) {(2003-11-20)}	2003
"Bubala Please" (2012)	2012-????
"Bubble Guppies" (2011) {Get Ready for School! (#3.1)}	2013
"Buddies" (1996) {The PSA Story (#1.10)}	????
"Buddy" (1986) {Crying, Waiting, Hoping (#1.2)}	1986
"Buenas tardes" (2000) {(2001-02-08)}	2001
"Buenos d�as a todos" (1991) {(2013-11-20)}	2013
"Buni TV Comedy Series" (2013) {CNN Interview (#1.34)}	2013
"Buried Lies" (2016) {(#1.5)}	2016
"Buried Secrets" (2005) {Mass Graves of Guatemala (#1.4)}	2005
"Burn Notice" (2007) {Unchained (#6.8)}	2012
"Burning Bridges" (2013) {Artist at Sea (#1.5)}	2014
"Burning Bridges" (2013) {Demento (#2.2)}	2015
"Bus Stop" (1961) {Afternoon of a Cowboy (#1.1)}	1961
"Bushwhacked!" (2012)	2012-????
"Buy.o.logic" (2012) {Hit the Fan (#1.13)}	2012
"Buzz & Poppy" (1999) {The Green Doll Patrol (#2.19)}	2002
"By the Sword Divided" (1983) {Witch Hunt (#2.4)}	1985
"B�to ekkusu" (1996) {Taiketsu! Kikai k�koku no yab� (#1.3)}	1996
"B�se M�dchen" (2007) {Astrotaxi/F�hrungszeugnis/Vermummte �rzte/Salat/Autopf�ndung/Zombiem�rchen/Ente/Sicherheitskontrolle/Fahrradpanne/Lovetruck (#3.2)}	2010
"C'est Wow" (2015) {Cylindres musicaux (#1.4)}	2015
"C-41" (2005) {(#1.279)}	2006
"C.I.D." (1998) {Teen Mujrim (#1.979)}	2013
"C.I.D." (1998) {The Case of the Man on the Bus: Part 2 (#1.336)}	2004
"C.I.D." (1998) {The Case of the Panther Menace: Part 2 (#1.240)}	2002
"C.I.D." (1998) {The Case of the Strange Clues: Part 1 (#1.215)}	2002
"Ca$h Cab" (2005) {(2007-05-03)}	2007
"Cabaret" (1936) {(1937-03-18)}	1937
"Cache Craze" (2013) {Cache-Craze of the Olympians (#2.1)}	2013
"Cadillacs and Dinosaurs" (1993) {Dino Drive (#1.2)}	1993
"Cadillacs and Dinosaurs" (1993) {Wild Child (#1.5)}	1993
"Cafe Racer" (2008) {(#2.15)}	????
"Caiga quien caiga - CQC" (1995) {(#16.29)}	2012
"Caiga quien caiga" (1996/I) {(1997-10-05)}	1997
"Caldeir�o do Huck" (2000) {(2013-07-27)}	2013
"Call My Bluff" (1965/II)	1965-1988
"Call My Bluff" (1965/II) {(1969-07-10)}	1969
"Call of Duty ELITE: Friday Night Fights" (2011) {FourPlay vs. Red Shoe Rebels (#2.6)}	2012
"Call to Glory" (1984)	1984-1985
"Calling Dr. Pol" (2014) {Pumpkin Picasso (#2.9)}	2015
"Cama de Gato" (2009) {(#1.10)}	2009
"Cama de Gato" (2009) {(#1.74)}	2009
"Camaleones" (2009) {Advertencias (#1.18)}	2009
"Camaleones" (2009) {El s�tano (#1.132)}	2010
"Camera Three" (1955) {A Pursuit of Folk Music in America: Part II (#24.4)}	1978
"Campanadas del a�o" (1990) {(1992-12-31)}	1992
"Campeones de la vida" (1999) {(#1.199)}	1999
"Cam�ra caf�" (2001) {Le grand m�nage}	2003
"Cam�ra caf�" (2001) {Les fous du volant}	2003
"Cam�ra caf�" (2002) {�pisode 127 (#7.5)}	2008
"Can You Not?" (2014) {The Stakeout (#1.3)}	2014
"Canada A.M." (1972) {(2006-06-15)}	2006
"Canada A.M." (1972) {(2011-11-10)}	2011
"Canada in the Rough" (2006) {Duck Hunting on the Prairies (#7.8)}	2011
"Canada Sings" (2011) {Pulse vs. Team Keg Spirits (#1.5)}	2011
"Canadian Comedy Shorts" (1999) {I'm Telling (#3.12)}	2002
"Canadian Rally Championship" (2006) {Rallye Defi Ste. Agathe Duhamel: Part 1 (#2.7)}	2008
"Canal+ en Hollywood" (2006) {The Kingdom/Chuck/Michelle Pfeiffer's WOF/Fashion/11th Hour (#2.5)}	2007
"Candid Conversations" (2013) {(#1.4)}	2013
"Canim ailem" (2008) {(#1.12)}	2009
"Canimals" (2011) {Vacuum Can (#1.49)}	????
"Cannon and Ball" (1979) {(#9.6)}	1988
"Cantoras do Brasil" (2012) {Nina Becker Canta Dolores Duran (#1.5)}	2012
"Cap'n Ken's Corner" (2001) {Occupations (#1.4)}	????
"Captain Tsubasa" (1983) {The Great Final (#5.2)}	1985
"Capture" (2013) {Double Jeopardy (#1.5)}	2013
"Car Crazy" (2003) {Celebrities at SEMA 2008 (#14.2)}	2009
"Car Lot Rescue" (2012) {Outta Sight, Outta Business (#1.3)}	2013
"Carabinieri" (2002) {L'amante (#4.18)}	2005
"Caracol M�s Cerca" (2004) {(#2.18)}	2005
"Caracol M�s Cerca" (2004) {(#9.35)}	2012
"Card Sharks" (1978) {(1986-08-26)}	1986
"Cardio World" (2012) {This Is a Job for... The Booty Bible (TM)! (#1.11)}	2012
"Carnie Wilson: Unstapled" (2010) {(#1.2)}	2010
"Carnival Cravings with Anthony Anderson" (2015) {Deep-Fried Rockies (#1.3)}	2015
"Carol & Company" (1990) {Trisha Springs Eternal (#2.7)}	1990
"Carramba che sorpresa" (1998) {(2002-03-23)}	2002
"Carson on TCM" (2013) {Sylvester Stallone (#2.22)}	2014
"Cartouche, prince des faubourgs" (2001) {Aurore de Saint Hubert (#1.21)}	2002
"Cas de divorce" (1991) {Girard contre Girard (#1.125)}	????
"Casados con hijos" (2005) {Pepe est� en oferta (#1.116)}	2005
"Casados con hijos" (2005) {Rocky Argento (#2.42)}	2006
"Casey Jones" (1957) {The Black Box (#1.21)}	1957
"Cash and Cari" (2011) {Cari's Estate Sale Contest (#2.6)}	2011
"Cash Call" (2011) {(#2.31)}	2012
